phase,hip_x,hip_y,knee_x,knee_y,ankle_x,ankle_y,hip_q,knee_q,passive_ankle_q,toe_x_sim,toe_y_sim
0.71,0.0,1.0892,0.102258376192221,0.4813413120646129,-0.4115274782147773,0.2616107138055842,0.1666666666666666,1.3333333333333337,0.22913065590189718,-0.26890945086088425,0.06734003080456061
0.72,0.0,1.0892,0.1425251209929816,0.4895037853329937,-0.337489826857081,0.2034214722821839,0.2333333333333333,1.2666666666666666,0.201638678947502,-0.1751463818928985,0.025304640182684024
0.73,0.0,1.0892,0.1821586553860496,0.5003305881029765,-0.255564421713788,0.1529749378333291,0.3,1.2,0.15244213122587671,-0.07882674958768038,-0.01086887575584633
0.74,0.0,1.0892,0.2209828955603996,0.5137736190703962,-0.1666780888758128,0.1113107001002796,0.3666666666666666,1.1333333333333333,0.08664169627038626,0.020713152292890724,-0.040233097968967624
0.75,0.0,1.0892,0.2588253532362259,0.5297731535561214,-0.0718919916547252,0.0793472686557533,0.4333333333333333,1.0666666666666669,0.013734245517608228,0.12430884015837518,-0.06060355697899418
0.76,0.0,1.0892,0.2955179019956307,0.5482581088507742,0.027614911023602,0.0578649732664339,0.5,1.0,-0.04098451486881256,0.2342006150128781,-0.06624524753449448
0.77,0.0,1.0892,0.2988929949891395,0.5501156489505356,0.0872838524198797,0.0329319187529367,0.50625,0.8946249999999998,-0.05219577228315409,0.30527037716131794,-0.06984392972884587
0.78,0.0,1.0892,0.3022564125130379,0.5519942469642118,0.1495750613740546,0.0144574156546033,0.5125000000000001,0.7892499999999997,-0.04822668151167228,0.3779606808152982,-0.062490676150453506
0.79,0.0,1.0892,0.3056080231842563,0.5538938295093068,0.2137549200218983,0.00269472987339,0.51875,0.6838749999999997,-0.06745872675681663,0.44826578152239416,-0.052853950023572786
0.8,0.0,1.0892,0.308947696080929,0.555814322383619,0.2790661555823218,0.0,0.5250000000000001,0.5784999999999995,-0.10704145116451722,0.5169671066113083,-0.038524505181815764
0.81,0.0,1.0892,0.3122753007475082,0.5577556505681397,0.3447372646647513,0.0,0.53125,0.4731249999999992,-0.1514118859407182,0.5846893805326966,-0.022449545440746756
0.82,0.0,1.0892,0.3155907071998599,0.5597177382299835,0.4099921147136473,0.0089493529177764,0.5375000000000001,0.3677500000000003,-0.198073207179648,0.6508954555857766,0.002124372577385505
0.83,0.0,1.0892,0.3188937859303408,0.5617005087253505,0.4740596030790546,0.0248755752614028,0.54375,0.2623750000000002,-0.24851131326885745,0.7149294721520878,0.0327942981849468
0.84,0.0,1.0892,0.3221844079128583,0.5637038846025206,0.5361832534847788,0.0475043746319228,0.55,0.157,-0.28146917308550135,0.7756858920012837,0.07432761350481751
0.85,0.0,1.0892,0.3188937859303408,0.5617005087253506,0.5257099943770127,0.0425815474806829,0.5437500000000001,0.164625,-0.2776646176994745,0.7654706059290332,0.06699156895140597
0.86,0.0,1.0892,0.3155907071998597,0.5597177382299834,0.5151844638084062,0.0377792626192191,0.5375,0.17225,-0.25594247306446527,0.7547461464441549,0.06406994942517383
0.87,0.0,1.0892,0.3122753007475082,0.5577556505681397,0.5046081812175753,0.0330981402911144,0.53125,0.179875,-0.24363535069512704,0.7442107899661468,0.05901319153318225
0.88,0.0,1.0892,0.308947696080929,0.555814322383619,0.4939826739218457,0.0285387805884287,0.525,0.1875,-0.2430538756936378,0.7339086041934151,0.05126647258128182
